"","Agent","subject","TrialNumber","player_location","Player_letter_angle","Player_letter_angle_abs","RT","correct","sex","age","Handedness","pairs","Letter_Form","block","TrialNumber_inBlock","self_theta","other_theta","self_theta_centred","other_theta_centred","Agent_Contrast","Robot_Contrast","Morphology_Contrast","Animacy_Contrast","Exposure","TrialNumber_inBlockCoded","Letter_Form_Coded","Agent_cat","error_rates"
"1","Human",52210149,1,"right",315,45,1512,1,"Man, including trans man",19,"Right-handed","6","Normal",1,1,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.5,-4.5,1,"Human",0
"2","Human",52210149,2,"right",180,180,1492,1,"Man, including trans man",19,"Right-handed","6","Normal",1,2,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.5,-4.5,1,"Human",0
"3","Human",52210149,3,"right",90,90,1839,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,3,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.5,-4.5,-1,"Human",0
"4","Human",52210149,4,"right",270,90,984,1,"Man, including trans man",19,"Right-handed","6","Normal",1,4,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.5,-3.5,1,"Human",0
"5","Human",52210149,5,"right",135,135,1460,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,5,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.5,-3.5,-1,"Human",0
"6","Human",52210149,6,"right",225,135,1323,1,"Man, including trans man",19,"Right-handed","6","Normal",1,6,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.5,-3.5,1,"Human",0
"7","Human",52210149,7,"right",180,180,1616,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,7,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.5,-2.5,-1,"Human",0
"8","Human",52210149,8,"right",45,45,857,1,"Man, including trans man",19,"Right-handed","6","Normal",1,8,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.5,-2.5,1,"Human",0
"9","Human",52210149,9,"right",90,90,935,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,9,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.5,-2.5,-1,"Human",0
"10","Human",52210149,10,"right",45,45,836,1,"Man, including trans man",19,"Right-handed","6","Normal",1,10,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.5,-1.5,1,"Human",0
"11","Human",52210149,11,"right",0,0,735,1,"Man, including trans man",19,"Right-handed","6","Normal",1,11,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.5,-1.5,1,"Human",0
